"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00393259","Active",1,1,="0039325911","TH.6 TA QUAN MOONY L44-GIRL","PROMO",="2250102","CN CTY CP DIANA UNICHARM","06-HBA AND COSMETIC","0630-BABY CARE","063020-BABY DIAPERS","06302002-PANTS","0630200203-LARGE","","",4,"Yes","Yes","Yes",="4903111206438",12-JUL-22,31-DEC-49,"No",,,"","",1,Day,6,,1,,,,="",,,,,,,,,"C326(14/12/2023-26/12/2023),C327(27/12/2023-10/01/2024),C401(11/01/2024-24/01/2024)","41","4","",20500147,21-DEC-23,02-JAN-24,254492.66,2,,334800,,,327300,,116,1017970.64
"147-MOONLIGHT",="00977608","Active",1,1,="0097760811","NRT SAFEGUARD H.CHANH TUI 420ML","",="","","06-HBA AND COSMETIC","0610-PERSONAL CARE","061020-BATH AND BODY","06102008-HAND SOAPS","0610200801-01- MEDICATED","","",24,"Yes","No","Yes",="4902430805360",,,"No",,,"","",,,,,4,10,5,,="",,,,,,,,,"","","","",10900147,16-DEC-22,31-DEC-49,44247.29,,,61300,,,,,463,1061935.0153846152
"147-MOONLIGHT",="00970884","Active",1,1,="0097088411","LO 2 BCDR COLGATE FLEXCLEAN NGUYEN KHOI","P2510147",="0350005","CTY TNHH COLGATE PALMOLIVE VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061030-ORAL CARE","06103002-TOOTHBRUSHES","0610300202-02-SOFT BRUSH","","",29,"Yes","Yes","Yes",="8850006332535",14-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,5,,4,12,10,,="",,,,8000000,121,,200000000,121,"C401(11/01/2024-24/01/2024)","41","12","",10900147,01-JUL-23,31-DEC-49,62704.34,1,64909,82300,,,,2,140,1818425.8088235289
"147-MOONLIGHT",="00299212","Active",1,1,="0029921211","TNT BIGEN 4 CHESTNUT 80G","PROMO",="2050786","CONG TY TNHH DV TM THANH NGOC(FC)","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101004-HAIR COLORING","0610100401-PERMANENT COLOR","","",,"No","Yes","Yes",="4987205931260",02-FEB-23,31-DEC-49,"No",,,"","",1,Day,5,,1,,,,="",,,,,,,,,"C326(14/12/2023-26/12/2023)","41","54","",20500147,23-DEC-23,02-JAN-24,,1,,192900,,,179900,,,
"147-MOONLIGHT",="00034281","Active",0,0,="0003428100","LUOI DCR GILLETTE VECTOR 4C","P0670806",="806","SOUTHERN WAREHOUSE","06-HBA AND COSMETIC","0610-PERSONAL CARE","061050-MEN CARE","06105003-FACIAL CARE","0610500302-SHAVING","","",13,"Yes","Yes","Yes",="3014260301705",04-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,3,,1,,,,="",,,,,,,,,"","41","300","",10900147,01-SEP-23,31-DEC-49,44894.54,0,,62900,,,,5,15,583628.9810643565
"147-MOONLIGHT",="01243703","Active",1,1,="0124370311","ST ST.IVES HOA HONG 650G","P2520147",="0461009","CONG TY TNHH DKSH VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061020-BATH AND BODY","06102001-LIQUID SOAPS","0610200105-IMPORTED","PLANO","",,"No","Yes","Yes",="77043002124",16-SEP-22,31-DEC-49,"Yes",,,"","",1,Week,5,,1,,,,="",,,,5000000,121,,200000000,121,"","41","4","",10900147,22-JUN-23,31-DEC-49,,1,152300,195000,,,,,,
"147-MOONLIGHT",="00945636","Active",1,1,="0094563611","KEM NHUOM BEAUTYLABO VANG MAT ONG","P0160147",="2050786","CONG TY TNHH DV TM THANH NGOC(FC)","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101004-HAIR COLORING","0610100401-PERMANENT COLOR","","",5,"Yes","Yes","Yes",="4987205310591",05-JAN-23,31-DEC-49,"No",,,"","",1,Day,5,,1,,,,="",,,,1000000,121,,50000000,121,"C326(14/12/2023-26/12/2023)","1","1","",10900147,01-MAR-23,31-DEC-49,159636.28,1,165909,198800,,,,,669,798181.375
"147-MOONLIGHT",="00356827","Active",1,1,="0035682711","TNT LOREAL NAU SOCOLA 172ML","P1510147",="1229058","CTY TNHH L'OREAL VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101004-HAIR COLORING","0610100401-PERMANENT COLOR","","",4,"Yes","Yes","Yes",="6938181569228",14-SEP-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,200000000,121,"","41","3","",10900147,25-MAR-23,31-DEC-49,147764,1,155582,199000,,,,,271,591056
"147-MOONLIGHT",="01409812","Active",1,1,="0140981211","+HQ ROHTO (SRM HADA DAM 80G+TONE UP 50G)","P1520147",="2050005","C.TY TNHH DV TN THANH NGOC","06-HBA AND COSMETIC","0620-BEAUTY CARE","062030-GIFT SETS","06203001-SKIN CARE","0620300101-SKIN CARE","","",,"No","Yes","Yes",="8935006546721",11-NOV-23,31-DEC-49,"Yes",,,"","",1,Week,5,,1,,,,="",,,,7000000,121,,200000000,121,"C327(27/12/2023-10/01/2024)","1","1","",10900147,11-NOV-23,31-DEC-49,,1,216000,270000,,,,,,
"147-MOONLIGHT",="00035595","Active",0,0,="0003559500","TNT BIGEN 102","PROMO",="2050786","CONG TY TNHH DV TM THANH NGOC(FC)","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101004-HAIR COLORING","0610100401-PERMANENT COLOR","","",14,"Yes","Yes","Yes",="4987205936425",10-NOV-23,31-DEC-49,"No",,,"","",1,Day,5,,4,12,10,,="",,,,,,,,,"C326(14/12/2023-26/12/2023)","41","54","",10900147,01-MAR-23,31-DEC-49,155909,0,,192900,,,,,1428,2182726
