"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00772254","Active",1,1,="0077225411","ENERGIZER - PIN AAA MAX PLUS EP92 BP2","D0030147",="0461010","CONG TY TNHH DKSH VN - GREEN CROSS","02-HOME LINE","0240-HOME IMPROVEMENT","024040-ELECTRIC & LIGHTING","02404001-BATTERY","0240400102-ALKALINE BATTER","","",19,"Yes","Yes","Yes",="8888021203332",20-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,1000000,121,,50000000,121,"","1","1","",20500147,13-DEC-23,26-DEC-23,33900,1,33900,54900,,,41000,8,34,644100
"147-MOONLIGHT",="01416045","Active",1,1,="0141604511","LLG246-ROSE SQUARE-320ML-CRED-CN-8-BOS","A8530147",="3005248","CTY TNHH LOCK & LOCK HCM","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101004-FOOD STORAGE","0210100403-GLASS FOOD BOX","","",,"No","Yes","No",="8935255826438",15-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,3000000,121,,,,"","41","8","",,,,,1,58800,,,,,,,
"147-MOONLIGHT",="01411890","Active",1,1,="0141189011","DAY CUC VANG NHUNG 3 KIEU 18","C0020147",="2050598","CO SO BUI DUC BAC","02-HOME LINE","0230-LEISURE","023060-SEASONAL","02306002-MOON CAKE","0230600201-LATERN","","SEASONAL;",,"No","Yes","Yes",="8935094840374",13-DEC-23,12-FEB-24,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,,,"","1","1","",10900147,13-DEC-23,31-DEC-49,,1,18000,29900,,,,,,
"147-MOONLIGHT",="01411948","Active",1,1,="0141194811","LO 6 BAO LI XI DO VN930","C0520147",="3004554","CTY TNHH DT VA PT TAN DINH HAO","02-HOME LINE","0250-CULTURE","025030-SEASONAL","02503001-TET DECORATION","0250300101-LUCKY ENVELOPE","","SEASONAL;",,"No","Yes","Yes",="8935293624522",13-DEC-23,12-FEB-24,"Yes",,,"","",1,Day,5,,1,,,,="",,,,2000000,121,,,,"","1","1","",10900147,13-DEC-23,31-DEC-49,,1,9000,15000,,,,,,
"147-MOONLIGHT",="00559899","Active",1,1,="0055989911","SACH LAM QUEN TIENG VIET TAP 1 LQTV01","E0240147",="2050010","CTY TNHH TMDV THIEN LONG HOAN CAU","02-HOME LINE","0250-CULTURE","025020-STATIONERY","02502002-SCHOOL MATERIAL","0250200207-STATIONERY SET","","",,"No","Yes","Yes",="9786049479533",08-AUG-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","1","1","",10900147,08-AUG-23,31-DEC-49,,1,9820,14900,,,,,,
"147-MOONLIGHT",="00990820","Active",1,1,="0099082011","P-NNB-SPRIING KHAY SU OVAL 28X17CM","A1200147",="1450257","CTY TNHH NNB","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102001-DISHWARE","0210200112-PORCELAIN PLATE","","",5,"Yes","Yes","Yes",="8935241703897",27-APR-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,50000000,121,"","41","10","",20500147,14-DEC-23,26-DEC-23,118056.12,1,122000,189000,,,145000,,56,590280.60941828
"147-MOONLIGHT",="01281211","Active",1,1,="0128121111","TM-VI 5 DOI DUA NHUA MAU 077","B0580147",="3006080","CTY TNHH SX GIA DUNG TUYET MAI","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102003-CUTLERY - TABLEWARE ACC","0210200306-PLASTIC CHOPSTICK","","",14,"Yes","Yes","Yes",="6938721100386",16-SEP-23,31-DEC-49,"Yes",,,"","",1,Day,7,,1,,,,="",,,,3000000,121,,,,"","41","20","",20500147,14-DEC-23,26-DEC-23,50666.67,1,56000,99900,,,69000,,43,709333.3333333338
"147-MOONLIGHT",="01363055","Active",1,1,="0136305511","SO LO XO A6","E0090147",="1000863","CTY TNHH THAI BINH THINH VUONG","02-HOME LINE","0250-CULTURE","025020-STATIONERY","02502006-OFFICE SUPPLY","0250200603-MEMO","","",,"No","Yes","Yes",="8935252741338",20-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,9,,1,,,,="",,,,2000000,121,,,,"","1","1","",10900147,21-JUL-23,31-DEC-49,,1,27300,39900,,,,,,
"147-MOONLIGHT",="00866079","Active",1,1,="0086607911","0005-HOP CN 2900ML MICRONWARE","A0100147",="1000858","CTY TNHH MTV TM TRUNG PHUC","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101004-FOOD STORAGE","0210100404-PLASTIC FOOD BOX","","",,"No","Yes","Yes",="8851251068576",30-NOV-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,50000000,121,"","41","12","",10900147,26-JUL-23,31-DEC-49,,1,78650,120000,,,,,,
"147-MOONLIGHT",="01247572","Active",1,1,="0124757211","HOP LAP RAP 9906","C0520147",="3004554","CTY TNHH DT VA PT TAN DINH HAO","02-HOME LINE","0230-LEISURE","023010-TOYS","02301001-EDUCATIONAL","0230100101-LEGO","","",,"No","Yes","Yes",="8935293615612",21-OCT-22,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,2000000,121,,,,"","1","1","",10900147,21-OCT-22,31-DEC-49,,1,72000,119000,,,,,,
